OS,TIPO,TIPO EQUIPAMENTO,EQUIPAMENTO,MARCA,HORARIO INICIO,HORARIO FIM,TIPO DE SERVIÇO,COMPLEMENTO,RESOLUÇÃO,TEMPO
1874444,PREVENTIVA,FOCO CIRURGICO TETO - LED,POLARIS 100 200,DRAGER HEALTHCARE,2024-01-24 17:30:00,2024-01-24 18:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.5
1874459,PREVENTIVA,COMPRESSOR - MEMBROS INFERIORES,SCD 700,COVIDIEN - KENDALL,2024-04-10 10:00:00,2024-04-10 11:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874465,PREVENTIVA,COMPRESSOR - MEMBROS INFERIORES,SCD 700,COVIDIEN - KENDALL,2024-04-11 08:00:00,2024-04-11 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,,1.0
1874486,PREVENTIVA,COMPRESSOR - MANTA TERMICA,ACTIWARM IOB505,JIANGMEN DACHENG,2024-04-01 09:00:00,2024-04-01 09:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.5
1874605,PREVENTIVA,BOMBA INJETORA DE CONTRASTE,OPTISTAR ELITE,MALLINCKRODT - LIEBEL - FLARSHEIM,2024-02-23 08:00:00,2024-02-23 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ORGANIZAÇÃO SETORIAL,1.0
1874217,PREVENTIVA,APARELHO DE RAIOS-X - FIXO,APOLO D,VMI,2024-02-22 08:30:00,2024-02-22 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ORGANIZAÇÃO SETORIAL,0.5
1874218,PREVENTIVA,APARELHO DE RAIOS-X - MOVEL,AQUILLA 300 PLUS,VMI,2024-02-22 09:00:00,2024-02-22 09:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ORGANIZAÇÃO SETORIAL,0.5
1874452,PREVENTIVA,DETECTOR DR,DRTECH EVS 3643,VMI,2024-02-22 09:30:00,2024-02-22 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ORGANIZAÇÃO SETORIAL,0.5
1874303,PREVENTIVA,MICROSCOPIO - CIRURGICO,M220 F12,LEICA,2024-02-20 08:00:00,2024-02-20 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874302,PREVENTIVA,MICROSCOPIO - CIRURGICO,MC M3101,DF VASCONCELOS,2024-02-20 09:00:00,2024-02-20 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874262,PREVENTIVA,MONITOR - VIDEOCIRURGIA,VISION PRO 26,STRYKER,2024-01-21 08:00:00,2024-01-21 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874242,PREVENTIVA,PROCESSADORA DE VIDEO - CIRURGICA,1588 AIM,STRYKER,2024-01-21 09:00:00,2024-01-21 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874440,PREVENTIVA,FONTE DE LUZ - LED,L10 PRECISION,STRYKER,2024-01-23 18:30:00,2024-01-23 18:50:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.33
1820074,SEG. ELETRICA,BISTURI - ELETRICO,FORCE FX,COVIDIEN - VALLEYLAB,2024-01-25 13:00:00,2024-01-25 14:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,1.0
1820072,SEG. ELETRICA,BISTURI - ELETRICO,VIO 300 S,ERBE,2024-01-25 12:00:00,2024-01-25 13:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,1.0
1874604,PREVENTIVA,BOMBA INJETORA DE CONTRASTE,ANGIOMAT ILLUMENA,MALLINCKRODT - LIEBEL - FLARSHEIM,2024-02-22 08:00:00,2024-02-22 08:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ORGANIZAÇÃO SETORIAL,0.5
1874601,PREVENTIVA,CADEIRA - OFTALMOLOGICA,ELEGANCE II,APRAMED,2024-02-20 14:00:00,2024-02-20 15:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874294,PREVENTIVA,BALANCA - ANTROPOMETRICA,R 110,WELMY,2024-02-20 08:00:00,2024-02-20 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874228,PREVENTIVA,SISTEMA DE ANESTESIA,FABIUS PLUS,DRAGER HEALTHCARE,2024-06-14 15:00:00,2024-06-14 16:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ACOMPANHAMENTO DE SERVICO EXTERNO,1.0
1874227,PREVENTIVA,SISTEMA DE ANESTESIA,FABIUS PLUS XL,DRAGER HEALTHCARE,2024-06-14 16:00:00,2024-06-14 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ACOMPANHAMENTO DE SERVICO EXTERNO,1.0
1825741,CALIBRACAO,MICROPIPETA,200UL,FINNPIPETTE,2024-01-01 02:08:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1517.87
1825742,CALIBRACAO,MICROPIPETA,145UL,LABSYSTEMS,2024-01-01 02:08:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1517.87
1825739,CALIBRACAO,MICROPIPETA,280UL,LABSYSTEMS,2024-01-01 02:08:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1517.87
1825736,CALIBRACAO,MICROPIPETA,1000UL A 5000UL,PEGUEPET,2024-01-01 02:08:00,2024-03-04 14:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1523.87
1825737,CALIBRACAO,MICROPIPETA,TRANSFERPETTE 100UL A 1000UL,BRAND,2024-01-01 02:08:00,2024-03-04 14:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1524.37
1850749,PREVENTIVA,AUTOCLAVE - HORIZONTAL,HS6,SERCON,2024-01-22 08:00:00,2024-01-22 12:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ACOMPANHAMENTO DE SERVICO EXTERNO,4.0
1826050,CORRETIVA,GLICOSIMETRO,FREESTYLE PRECISION PRO,ABBOTT,2024-01-01 08:18:00,2024-01-01 08:28:00,02 NAO FUNCIONA,MAU USO,TROCA / INSTALAÇÃO DE BATERIA,0.17
1837677,PREVENTIVA,FOTOFORO,3S LED,HEINE,2024-01-01 08:00:00,2024-01-01 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,2.0
1830307,PREVENTIVA,CARDIOVERSOR,CARDIOSERV,GE HEALTHCARE,2024-01-01 08:00:00,2024-01-03 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,TESTE FUNCIONAL,49.0
1830341,PREVENTIVA,MONITOR - MULTIPARAMETROS,TRANSPORT PRO,GE HEALTHCARE,2024-01-01 08:00:00,2024-01-02 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,26.0
1820051,PREVENTIVA,MESA CIRURGICA - ELETRICA,3001E,MERCEDES IMEC,2024-01-24 15:30:00,2024-01-24 16:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.5
1830371,CORRETIVA,BOMBA INJETORA DE CONTRASTE,ACCUTRON MR,GUERBET,2024-01-01 08:10:00,2024-01-10 15:30:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,223.33
1861300,CALIBRACAO,MICROPIPETA,10UL A 100UL,PEGUEPET,2024-01-01 08:00:00,2024-03-04 15:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1519.5
1819132,PREVENTIVA,TOMOGRAFO COMPUTADORIZADO,SOMATOM PERSPECTIVE 128,SIEMENS HEALTHCARE,2024-01-11 08:20:00,2024-01-11 16:20:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,8.0
1861284,CALIBRACAO,MICROPIPETA,10UL A 100UL,EPPENDORF,2024-01-01 08:00:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1512.0
1846923,SEG. ELETRICA,VENTILADOR PULMONAR - TRANSPORTE,OXYLOG 3000,DRAGER HEALTHCARE,2024-01-16 08:00:00,2024-01-16 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,9.0
1861290,CALIBRACAO,MICROPIPETA,"0,1UL A 2,5UL",EPPENDORF,2024-01-01 08:00:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1512.0
1861286,CALIBRACAO,MICROPIPETA,20UL A 200UL,EPPENDORF,2024-01-01 08:00:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1512.0
1846917,SEG. ELETRICA,VENTILADOR PULMONAR - TRANSPORTE,OXYLOG 3000 PLUS,DRAGER HEALTHCARE,2024-01-16 08:00:00,2024-01-16 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,9.0
1825738,CALIBRACAO,MICROPIPETA,"TRANSFERPETTE 0,5UL A 10UL",BRAND,2024-01-01 02:08:00,2024-03-04 16:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1525.87
1846977,PREVENTIVA,VENTILADOR PULMONAR - TRANSPORTE,OXYLOG 3000 PLUS,DRAGER HEALTHCARE,2024-01-17 08:00:00,2024-01-17 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,9.0
1846980,PREVENTIVA,VENTILADOR PULMONAR - TRANSPORTE,OXYLOG 3000,DRAGER HEALTHCARE,2024-01-17 08:00:00,2024-01-17 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,9.0
1826048,CORRETIVA,ESTERILIZADORA A PEROXIDO,STERRAD 100NX ALLCLEAR 2DR,ASP,2024-01-01 07:25:00,2024-01-04 12:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),76.58
1834338,PREVENTIVA,BERCO - ELETRICO,MT 301 ELETRICO,META HOSPITALAR,2024-01-01 08:00:00,2024-01-04 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,73.0
1820076,CALIBRACAO,POLIGRAFO,SP12,TEB,2024-01-24 13:00:00,2024-01-24 14:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1.0
1850735,PREVENTIVA,AUTOCLAVE - HORIZONTAL,HI SPEED II,BAUMER,2024-01-24 08:00:00,2024-01-24 12:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ACOMPANHAMENTO DE SERVICO EXTERNO,4.0
1820048,PREVENTIVA,MESA CIRURGICA - ELETRICA,3500E,MERCEDES IMEC,2024-01-24 14:00:00,2024-01-24 14:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.5
1820053,PREVENTIVA,MESA CIRURGICA - MECANICA,2001,MERCEDES IMEC,2024-01-25 08:00:00,2024-01-25 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1820060,PREVENTIVA,BISTURI - ELETRICO,SS 501 S,WEM,2024-01-26 16:00:00,2024-01-26 16:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.5
1861288,CALIBRACAO,MICROPIPETA,2UL A 20UL,EPPENDORF,2024-01-01 08:00:00,2024-03-04 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1512.0
1741517,PREVENTIVA,TERMODESINFECTADORA,K155,CISA,2024-01-01 01:04:00,2024-01-08 18:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,184.93
1741519,PREVENTIVA,AUTOCLAVE - HORIZONTAL,6420,CISA,2024-01-01 01:04:00,2024-01-08 18:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,TESTE FUNCIONAL,184.93
1793173,PREVENTIVA,AUTOCLAVE - HORIZONTAL,6420,CISA,2024-01-01 01:02:00,2024-01-11 18:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,256.97
1820034,PREVENTIVA,SISTEMA DE HIPOHIPERTERMIA,BLANKETROL III 233,CSZ,2024-01-30 08:00:00,2024-11-21 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,7106.0
1874300,PREVENTIVA,MONITOR - CONSCIENCIA OU ANALGESIA,VISTA A2000,COVIDIEN - BIS,2024-09-02 17:00:00,2024-09-02 18:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874299,PREVENTIVA,MONITOR - CONSCIENCIA OU ANALGESIA,VISTA A2000,COVIDIEN - BIS,2024-09-18 08:00:00,2024-09-18 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,TESTE FUNCIONAL,1.0
1829309,CORRETIVA,APARELHO DE RAIOS-X - MOVEL,DRX REVOLUTION,CARESTREAM,2024-01-02 21:36:00,2024-01-03 12:00:00,13 TESTE FUNCIONAL,CAUSA NATURAL,TESTE FUNCIONAL,14.4
1827784,CORRETIVA,BISTURI - ELETRICO,FORCE FX,COVIDIEN - VALLEYLAB,2024-01-02 08:12:00,2024-02-07 14:35:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,ATUALIZAÇÃO DE DADOS NO SISTEMA,870.38
1828913,CORRETIVA,AUTOCLAVE - HORIZONTAL,HI VAC CAD,BAUMER,2023-12-31 08:00:00,2024-01-02 18:00:00,02 NAO FUNCIONA,CAUSA NATURAL,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,58.0
1829059,CORRETIVA,SISTEMA DE DESINFECCAO - ENDOSCOPIA,SCOPE CLEANER S20,WG ENDOTECHNIK,2024-01-30 17:06:00,2024-01-31 15:00:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),21.9
1946940,PREVENTIVA,TOMOGRAFO COMPUTADORIZADO,LIGHT SPEED VCT 64,GE HEALTHCARE,2024-05-10 07:50:00,2024-05-10 11:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ACOMPANHAMENTO DE SERVICO EXTERNO,3.67
1826960,CORRETIVA,CARDIOVERSOR,R SERIES,ZOLL,2023-12-31 14:03:00,2024-01-02 08:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,COLOCADO EM TESTE TÉCNICO,41.95
1826962,CORRETIVA,PROCESSADOR RADIOLOGICO - CR,ADC CR85X,AGFA HEALTHCARE,2023-12-29 16:47:00,2024-01-02 07:00:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,86.22
1828859,CORRETIVA,ELETROCARDIOGRAFO,MAC 600,GE HEALTHCARE,2024-01-02 13:32:00,2024-01-04 10:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),44.47
1829135,CORRETIVA,MICROSCOPIO - CIRURGICO,OPMI VARIO S88,CARL ZEISS,2024-01-02 16:15:00,2024-01-02 16:40:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE ELETRÔNICO,0.42
1829134,CORRETIVA,BISTURI - ELETRICO,FORCE FX,COVIDIEN - VALLEYLAB,2024-01-02 16:15:00,2024-01-03 09:32:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE ELETRÔNICO,17.28
1828184,CORRETIVA,MONITOR - MULTIPARAMETROS,EFFICIA CM120,PHILIPS MEDICAL,2024-01-02 09:15:00,2024-03-26 14:40:00,03 EQUIPAMENTO DANIFICADO,MAU USO,CONFIGURAÇÃO/REINICIALIZAÇÃO,2021.42
1831727,CORRETIVA,BOMBA INFUSORA - NUTRICAO,KANGAROO EPUMP,COVIDIEN - KENDALL,2024-04-02 10:30:00,2024-04-19 14:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,ATIVIDADE PROGRAMADA,TESTE FUNCIONAL,411.5
1828895,CORRETIVA,MONITOR - TRANSPORTE,B40,GE HEALTHCARE,2024-01-02 14:18:00,2024-01-02 14:30:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM PEÇAS,0.2
1830323,CORRETIVA,TOMOGRAFO COMPUTADORIZADO,OPTIMA CT660 64,GE HEALTHCARE,2023-12-30 10:00:00,2024-01-02 15:11:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),77.18
1828039,CORRETIVA,AUTOCLAVE - HORIZONTAL,HS6613 ER2,GETINGE,2023-12-30 08:00:00,2023-12-30 19:00:00,02 NAO FUNCIONA,CAUSA NATURAL,COLOCADO EM TESTE TÉCNICO,11.0
1828045,CORRETIVA,MONITOR - TRANSPORTE,B125,GE HEALTHCARE,2024-01-02 08:19:00,2024-01-02 09:20:00,01 NAO LIGA,CAUSA NATURAL,REVISÃO / REPARO EM CONEXÕES,1.02
1828860,CORRETIVA,ANALISADOR BIOQUIMICO,VITROS 5600,ORTHO CLINICAL DIAGNOSTICS,2023-01-05 09:48:00,2023-01-05 14:18:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,SUBSTITUIÇÃO DE PLACA(S),4.5
1830300,INSTALACAO,ULTRASSOM PORTATIL - ECOCARDIO,VERSANA BALANCE,GE HEALTHCARE,2024-01-02 12:25:00,2024-01-02 12:25:00,*INSTALACAO,INSTALAÇÃO,INSTALAÇÃO / ENTREGA DE EQUIPAMENTO ADICIONAL,0.0
1827948,CORRETIVA,LARINGOSCOPIO,GENERICO,GENERICO,2024-01-02 08:24:00,2024-01-02 10:10:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM ACESSÓRIO(S),1.77
1827952,CORRETIVA,BOMBA INFUSORA,EVO IQ,BAXTER,2023-12-29 08:30:00,2024-01-03 12:55:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,AJUSTE DE PARÂMETROS DESCALIBRADOS,124.42
1828224,CORRETIVA,ESTETOSCOPIO,ADULTO,GENERICO,2024-01-02 09:35:00,2024-01-02 12:00:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,REVISÃO / REPARO EM CONEXÕES,2.42
1827737,CORRETIVA,AUTOCLAVE - HORIZONTAL,AC 365,ORTOSINTESE,2024-01-02 08:00:00,2024-01-03 12:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,28.0
1826998,CORRETIVA,GLICOSIMETRO,FREESTYLE PRECISION PRO,ABBOTT,2024-01-02 07:56:00,2024-01-02 09:20:00,04 NAO FUNCIONA NA BATERIA,CAUSA NATURAL,TROCA / INSTALAÇÃO DE BATERIA,1.4
1828332,CORRETIVA,MANGUITO - BRACADEIRA,MONITORIZACAO,GENERICO,2024-01-02 16:40:00,2024-01-02 17:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,0.33
1828315,CORRETIVA,BOMBA INFUSORA,INFUSOMAT COMPACT PLUS,B BRAUN,2024-01-02 09:41:00,2024-01-03 12:07:00,20 DISPLAY DANIFICADO,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,26.43
1828318,CORRETIVA,BOMBA INJETORA DE CONTRASTE,820740 D,MALLINCKRODT - LIEBEL - FLARSHEIM,2024-01-02 08:00:00,2024-01-04 19:00:00,02 NAO FUNCIONA,MAU USO,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,59.0
1828326,CORRETIVA,LAPAROSCOPIO,30° 10MM X 31CM,KARL STORZ,2024-01-02 10:07:00,2024-01-29 09:00:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),646.88
1828735,CORRETIVA,CENTRAL DE MONITORIZACAO,DX20CT P,DIXTAL BIOMEDICA,2024-01-02 11:06:00,2024-01-02 12:00:00,01 NAO LIGA,CAUSA NATURAL,CONFIGURAÇÃO/REINICIALIZAÇÃO,0.9
1828736,CORRETIVA,COMPRESSOR - COLCHAO DE AR,BIOAIR II 946,SALVAPE,2024-01-02 11:08:00,2024-01-02 15:20:00,01 NAO LIGA,CAUSA NATURAL,SUBSTITUIÇÃO DE PLACA(S),4.2
1828714,CORRETIVA,MONITOR - MULTIPARAMETROS,BSM 3763,NIHON KOHDEN,2024-01-02 10:54:00,2024-01-02 11:20:00,02 NAO FUNCIONA,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,0.43
1828181,CORRETIVA,LARINGOSCOPIO,GENERICO,GENERICO,2024-01-02 09:07:00,2024-01-03 08:45:00,01 NAO LIGA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),23.63
1828433,CORRETIVA,MODULO - CAPNOGRAFIA,CAPNOFLEX,GE HEALTHCARE,2024-01-02 10:00:00,2024-02-23 12:56:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,1250.93
1828173,CORRETIVA,APARELHO DE RAIOS-X - MOVEL,DRX REVOLUTION,CARESTREAM,2023-12-31 08:59:00,2024-01-02 10:30:00,01 NAO LIGA,CAUSA NATURAL,AJUSTE ELETRÔNICO,49.52
1828176,CORRETIVA,BOMBA INFUSORA,EVO IQ,BAXTER,2024-01-02 09:00:00,2024-01-02 10:02:00,02 NAO FUNCIONA,ERRO DE PROCEDIMENTO,AJUSTE MECÂNICO,1.03
1828178,CORRETIVA,SENSOR DE OXIMETRIA,ADULTO,GENERICO,2024-01-02 09:06:00,2024-01-02 10:30:00,02 NAO FUNCIONA,CAUSA NATURAL,TESTE FUNCIONAL,1.4
1828179,CORRETIVA,SENSOR DE OXIMETRIA,ADULTO,GENERICO,2024-01-02 09:07:00,2024-01-02 09:50:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),0.72
1828180,CORRETIVA,GLICOSIMETRO,FREESTYLE PRECISION PRO,ABBOTT,2024-01-02 09:07:00,2024-01-03 11:40:00,02 NAO FUNCIONA,CAUSA NATURAL,CONFIGURAÇÃO/REINICIALIZAÇÃO,26.55
